# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+00
# lRef       : 1.000000e+00
# Aref       : 1.000000e-01
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
181          	-9.789464e-03	4.645905e-02	1.128495e-01	4.663529e-02	6.621422e-02
182          	-9.786351e-03	4.636376e-02	1.129180e-01	4.667267e-02	6.624537e-02
183          	-9.783024e-03	4.626885e-02	1.129829e-01	4.670842e-02	6.627447e-02
184          	-9.779397e-03	4.617435e-02	1.130438e-01	4.674251e-02	6.630131e-02
185          	-9.775420e-03	4.608029e-02	1.131008e-01	4.677499e-02	6.632584e-02
186          	-9.771078e-03	4.598671e-02	1.131539e-01	4.680589e-02	6.634805e-02
187          	-9.766362e-03	4.589362e-02	1.132029e-01	4.683507e-02	6.636779e-02
188          	-9.761293e-03	4.580099e-02	1.132472e-01	4.686229e-02	6.638488e-02
189          	-9.755982e-03	4.570875e-02	1.132868e-01	4.688740e-02	6.639936e-02
190          	-9.750242e-03	4.561699e-02	1.133200e-01	4.690977e-02	6.641025e-02
191          	-9.743752e-03	4.552617e-02	1.133513e-01	4.693192e-02	6.641942e-02
192          	-9.737044e-03	4.543522e-02	1.133801e-01	4.695299e-02	6.642708e-02
193          	-9.730068e-03	4.534432e-02	1.134016e-01	4.697076e-02	6.643089e-02
194          	-9.722591e-03	4.525424e-02	1.134185e-01	4.698665e-02	6.643183e-02
195          	-9.714688e-03	4.516467e-02	1.134323e-01	4.700147e-02	6.643084e-02
196          	-9.706584e-03	4.507525e-02	1.134419e-01	4.701434e-02	6.642751e-02
197          	-9.698759e-03	4.498652e-02	1.134557e-01	4.702908e-02	6.642659e-02
198          	-9.690667e-03	4.489821e-02	1.134690e-01	4.704382e-02	6.642515e-02
199          	-9.682248e-03	4.481004e-02	1.134769e-01	4.705621e-02	6.642070e-02
200          	-9.673814e-03	4.472233e-02	1.134789e-01	4.706562e-02	6.641325e-02
201          	-9.665859e-03	4.463568e-02	1.134849e-01	4.707658e-02	6.640829e-02
202          	-9.657959e-03	4.454952e-02	1.134936e-01	4.708885e-02	6.640477e-02
203          	-9.649975e-03	4.446337e-02	1.134997e-01	4.709988e-02	6.639983e-02
204          	-9.641995e-03	4.437780e-02	1.135038e-01	4.710988e-02	6.639387e-02
205          	-9.634031e-03	4.429278e-02	1.135049e-01	4.711842e-02	6.638649e-02
206          	-9.625934e-03	4.420846e-02	1.135063e-01	4.712720e-02	6.637906e-02
207          	-9.617670e-03	4.412450e-02	1.135071e-01	4.713587e-02	6.637121e-02
208          	-9.609126e-03	4.404095e-02	1.135058e-01	4.714375e-02	6.636200e-02
209          	-9.600174e-03	4.395797e-02	1.135016e-01	4.715061e-02	6.635096e-02
210          	-9.590789e-03	4.387543e-02	1.134945e-01	4.715646e-02	6.633804e-02
211          	-9.581034e-03	4.379325e-02	1.134847e-01	4.716130e-02	6.632337e-02
212          	-9.570993e-03	4.371152e-02	1.134724e-01	4.716523e-02	6.630721e-02
213          	-9.560736e-03	4.363034e-02	1.134585e-01	4.716849e-02	6.628997e-02
214          	-9.550306e-03	4.354967e-02	1.134433e-01	4.717136e-02	6.627197e-02
215          	-9.539707e-03	4.346947e-02	1.134272e-01	4.717387e-02	6.625328e-02
216          	-9.528934e-03	4.338972e-02	1.134097e-01	4.717592e-02	6.623379e-02
217          	-9.518016e-03	4.331047e-02	1.133913e-01	4.717761e-02	6.621364e-02
218          	-9.507013e-03	4.323174e-02	1.133726e-01	4.717926e-02	6.619329e-02
219          	-9.495981e-03	4.315355e-02	1.133544e-01	4.718121e-02	6.617317e-02
220          	-9.484957e-03	4.307589e-02	1.133372e-01	4.718366e-02	6.615357e-02
221          	-9.473949e-03	4.299873e-02	1.133210e-01	4.718654e-02	6.613444e-02
222          	-9.462892e-03	4.292200e-02	1.133041e-01	4.718918e-02	6.611496e-02
223          	-9.451788e-03	4.284578e-02	1.132865e-01	4.719146e-02	6.609503e-02
224          	-9.440540e-03	4.277008e-02	1.132666e-01	4.719277e-02	6.607385e-02
225          	-9.429520e-03	4.269527e-02	1.132515e-01	4.719624e-02	6.605528e-02
226          	-9.418850e-03	4.262112e-02	1.132441e-01	4.720322e-02	6.604092e-02
227          	-9.407874e-03	4.254690e-02	1.132336e-01	4.720895e-02	6.602469e-02
228          	-9.397524e-03	4.247335e-02	1.132282e-01	4.721657e-02	6.601162e-02
229          	-9.387128e-03	4.240054e-02	1.132255e-01	4.722563e-02	6.599989e-02
230          	-9.376306e-03	4.232763e-02	1.132160e-01	4.723167e-02	6.598428e-02
231          	-9.365551e-03	4.225532e-02	1.132053e-01	4.723708e-02	6.596818e-02
232          	-9.354864e-03	4.218399e-02	1.131976e-01	4.724395e-02	6.595368e-02
233          	-9.344739e-03	4.211343e-02	1.131977e-01	4.725411e-02	6.594359e-02
234          	-9.334226e-03	4.204254e-02	1.131917e-01	4.726163e-02	6.593008e-02
235          	-9.323341e-03	4.197281e-02	1.131876e-01	4.727045e-02	6.591714e-02
236          	-9.312822e-03	4.190392e-02	1.131910e-01	4.728266e-02	6.590830e-02
237          	-9.302161e-03	4.183463e-02	1.131940e-01	4.729483e-02	6.589916e-02
238          	-9.291129e-03	4.176555e-02	1.131930e-01	4.730535e-02	6.588761e-02
239          	-9.279755e-03	4.169729e-02	1.131882e-01	4.731435e-02	6.587386e-02
240          	-9.268413e-03	4.163012e-02	1.131857e-01	4.732444e-02	6.586126e-02
241          	-9.257118e-03	4.156343e-02	1.131860e-01	4.733587e-02	6.585010e-02
242          	-9.245861e-03	4.149716e-02	1.131889e-01	4.734859e-02	6.584032e-02
243          	-9.234644e-03	4.143142e-02	1.131947e-01	4.736273e-02	6.583201e-02
244          	-9.223389e-03	4.136605e-02	1.132025e-01	4.737788e-02	6.582466e-02
245          	-9.211992e-03	4.130092e-02	1.132107e-01	4.739334e-02	6.581732e-02
246          	-9.200441e-03	4.123624e-02	1.132185e-01	4.740880e-02	6.580969e-02
247          	-9.188819e-03	4.117223e-02	1.132268e-01	4.742458e-02	6.580222e-02
248          	-9.177209e-03	4.110890e-02	1.132367e-01	4.744112e-02	6.579554e-02
249          	-9.165642e-03	4.104616e-02	1.132487e-01	4.745871e-02	6.578999e-02
250          	-9.154086e-03	4.098393e-02	1.132628e-01	4.747732e-02	6.578550e-02
251          	-9.142477e-03	4.092215e-02	1.132786e-01	4.749681e-02	6.578176e-02
252          	-9.130751e-03	4.086079e-02	1.132956e-01	4.751704e-02	6.577854e-02
253          	-9.118874e-03	4.079989e-02	1.133137e-01	4.753800e-02	6.577574e-02
254          	-9.106842e-03	4.073946e-02	1.133330e-01	4.755968e-02	6.577336e-02
255          	-9.094678e-03	4.067955e-02	1.133535e-01	4.758206e-02	6.577142e-02
256          	-9.082397e-03	4.062010e-02	1.133749e-01	4.760505e-02	6.576984e-02
257          	-9.069966e-03	4.056097e-02	1.133966e-01	4.762832e-02	6.576825e-02
258          	-9.057417e-03	4.050230e-02	1.134185e-01	4.765185e-02	6.576669e-02
259          	-9.044811e-03	4.044430e-02	1.134415e-01	4.767593e-02	6.576555e-02
260          	-9.032304e-03	4.038726e-02	1.134681e-01	4.770175e-02	6.576636e-02
261          	-9.019754e-03	4.033098e-02	1.134987e-01	4.772961e-02	6.576911e-02
262          	-9.006745e-03	4.027400e-02	1.135267e-01	4.775663e-02	6.577012e-02
263          	-8.993804e-03	4.021765e-02	1.135587e-01	4.778556e-02	6.577316e-02
264          	-8.980667e-03	4.016198e-02	1.135902e-01	4.781444e-02	6.577577e-02
265          	-8.967043e-03	4.010605e-02	1.136177e-01	4.784181e-02	6.577590e-02
266          	-8.953592e-03	4.005147e-02	1.136480e-01	4.787043e-02	6.577761e-02
267          	-8.940207e-03	3.999731e-02	1.136825e-01	4.790105e-02	6.578146e-02
268          	-8.927005e-03	3.994394e-02	1.137226e-01	4.793431e-02	6.578831e-02
269          	-8.913427e-03	3.989024e-02	1.137625e-01	4.796784e-02	6.579470e-02
270          	-8.899448e-03	3.983663e-02	1.137995e-01	4.800033e-02	6.579922e-02
271          	-8.885643e-03	3.978423e-02	1.138406e-01	4.803465e-02	6.580593e-02
272          	-8.871908e-03	3.973264e-02	1.138848e-01	4.807050e-02	6.581431e-02
273          	-8.857911e-03	3.968061e-02	1.139297e-01	4.810692e-02	6.582274e-02
274          	-8.843739e-03	3.962894e-02	1.139746e-01	4.814356e-02	6.583103e-02
275          	-8.829402e-03	3.957778e-02	1.140194e-01	4.818030e-02	6.583910e-02
276          	-8.815121e-03	3.952759e-02	1.140661e-01	4.821792e-02	6.584817e-02
277          	-8.800806e-03	3.947775e-02	1.141151e-01	4.825674e-02	6.585835e-02
278          	-8.786425e-03	3.942818e-02	1.141668e-01	4.829697e-02	6.586982e-02
279          	-8.771978e-03	3.937912e-02	1.142211e-01	4.833856e-02	6.588251e-02
280          	-8.757413e-03	3.933050e-02	1.142773e-01	4.838122e-02	6.589605e-02
281          	-8.742686e-03	3.928222e-02	1.143346e-01	4.842462e-02	6.590999e-02
282          	-8.727797e-03	3.923429e-02	1.143925e-01	4.846846e-02	6.592406e-02
283          	-8.712778e-03	3.918675e-02	1.144509e-01	4.851265e-02	6.593820e-02
284          	-8.697671e-03	3.913960e-02	1.145099e-01	4.855730e-02	6.595264e-02
285          	-8.682510e-03	3.909288e-02	1.145703e-01	4.860266e-02	6.596768e-02
286          	-8.667311e-03	3.904661e-02	1.146326e-01	4.864897e-02	6.598359e-02
287          	-8.652060e-03	3.900079e-02	1.146969e-01	4.869640e-02	6.600052e-02
288          	-8.636722e-03	3.895536e-02	1.147635e-01	4.874501e-02	6.601845e-02
289          	-8.621257e-03	3.891029e-02	1.148319e-01	4.879472e-02	6.603723e-02
290          	-8.608683e-03	3.887995e-02	1.148870e-01	4.883483e-02	6.605219e-02
291          	-8.593683e-03	3.883512e-02	1.149569e-01	4.888478e-02	6.607214e-02
292          	-8.577252e-03	3.878438e-02	1.150349e-01	4.894019e-02	6.609469e-02
293          	-8.560221e-03	3.873560e-02	1.151139e-01	4.899671e-02	6.611715e-02
294          	-8.543133e-03	3.868932e-02	1.151905e-01	4.905210e-02	6.613837e-02
295          	-8.526353e-03	3.864401e-02	1.152646e-01	4.910595e-02	6.615866e-02
296          	-8.509944e-03	3.860022e-02	1.153386e-01	4.915935e-02	6.617924e-02
297          	-8.493830e-03	3.855872e-02	1.154145e-01	4.921342e-02	6.620108e-02
298          	-8.477544e-03	3.851926e-02	1.154950e-01	4.926996e-02	6.622505e-02
299          	-8.459995e-03	3.847593e-02	1.155855e-01	4.933275e-02	6.625274e-02
300          	-8.442803e-03	3.843589e-02	1.156740e-01	4.939418e-02	6.627979e-02
301          	-8.425977e-03	3.839654e-02	1.157619e-01	4.945499e-02	6.630694e-02
302          	-8.409333e-03	3.835624e-02	1.158470e-01	4.951419e-02	6.633286e-02
303          	-8.392832e-03	3.831566e-02	1.159291e-01	4.957173e-02	6.635739e-02
304          	-8.376468e-03	3.827601e-02	1.160116e-01	4.962934e-02	6.638227e-02
305          	-8.359971e-03	3.823705e-02	1.160950e-01	4.968755e-02	6.640749e-02
306          	-8.343111e-03	3.819793e-02	1.161808e-01	4.974727e-02	6.643350e-02
307          	-8.325958e-03	3.815898e-02	1.162716e-01	4.980982e-02	6.646173e-02
